Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value
(incl GST)",SupplierName,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-09-24T00:00:00,"60,275.99",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD7106367-12,Information and Communication Technology,GGS0060,2020-09-24T00:00:00,2021-01-15T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-09-28T00:00:00,"172,565.34",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-5-1,Information and Communication Technology,GGS0060,2020-09-28T00:00:00,2021-06-25T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-09-30T00:00:00,"47,217.49",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,,,,,,,,,PD106367-15,Information and Communication Technology,GGS0060,2020-09-30T00:00:00,2021-01-15T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-10-01T00:00:00,"50,289.21",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-13,Information and Communication Technology,GGS0060,2020-10-01T00:00:00,2020-11-27T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Distribution Services for Vaccines,2020-10-01T00:00:00,"1,538,497.61",Toll Global Logistics Division,L4/390 ST KILDA RD MELBOURNE  VIC  3004,No,,SOA,,,,,,,4300851456,General Goods & Services,HSQ85987,2020-10-07T00:00:00,2021-06-30T00:00:00,31006604191
DoH_PD,33 Charlotte Street,Assurance Reviews Oct 2020-June 2021,2020-10-27T00:00:00,"59,050.00",Pm Solutions (Aust) P/L,14/192 Ann Street Brisbane 4000,No,,,,,,,,,4300959153,General Goods & Services,,2020-10-27T00:00:00,2021-06-30T00:00:00,16123405756
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-11-30T00:00:00,"118,318.61",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-16,Information and Communication Technology,GGS0060,2020-11-30T00:00:00,2021-04-30T00:00:00,70600569784
DoH_PD,33 Charlotte Street,"Immunisation Campaign Kitting, Freight and print jobs",2020-12-07T00:00:00,"16,679.09",The Buckner Group Pty Ltd,71 BASALT ST GEEBUNG  QLD  4034,No,,,,,,,,,4301050090,General Goods & Services,,2020-12-07T00:00:00,2020-12-18T00:00:00,47009739422
DoH_PD,33 Charlotte Street,Enhancements to State Wide Arborvirus Response and Mosquito Management System (SWARMMS) ,2020-12-08T00:00:00,"54,450.00",RAPID MAP GLOBAL PTY LTD,Suite 22 2 Enterprise Drive Bundoora VIC 3083 ,Yes,,,,,,,,,PD101939,Information and Communication Technology,,2020-12-08T00:00:00,2023-08-31T00:00:00,25065883749
DoH_PD,33 Charlotte Street,HIV POCT 2021 Quality Assurance Program,2020-12-22T00:00:00,"12,179.75",Rcpa Quality Assurance,201/8 Herbert Street St Leonards 2065,No,,,,,,,,,4301085747,General Goods & Services,,2020-12-22T00:00:00,2021-12-31T00:00:00,32003520072
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-12-25T00:00:00,"124,017.89",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-21,Information and Communication Technology,GGS0060,2020-12-25T00:00:00,2021-06-30T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-01-04T00:00:00,"63,857.26",HAYS SPECIALIST RECRUITMENT (AUSTRALIA) PTY LIMITED,"Level 17  Riverside Centre, 123 Eagle Street, Brisbane  QLD   4000",No,No,,,,,,,,PD106402-2,General Goods & Services,GGS0060,2021-01-04T00:00:00,2021-06-30T00:00:00,47001407281
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-01-11T00:00:00,"142,780.00",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-26,Information and Communication Technology,GGS0060,2021-01-11T00:00:00,2021-06-30T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-01-11T00:00:00,"89,617.53",DAVIDSON RECRUITMENT PTY LTD ,GPO Box 2572  BRISBANE QLD 4000 ,No,No,,,,,,,,PD106404-5,General Goods & Services,GGS0060,2021-01-11T00:00:00,2021-09-30T00:00:00,65244757179
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-01-11T00:00:00,"61,108.01",DAVIDSON RECRUITMENT PTY LTD ,GPO Box 2572  BRISBANE QLD 4000 ,No,No,,,,,,,,PD106404-6,General Goods & Services,GGS0060,2021-01-11T00:00:00,2021-08-06T00:00:00,65244757179
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-01-12T00:00:00,"70,377.20",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-27,Information and Communication Technology,GGS0060,2021-01-12T00:00:00,2021-04-30T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-01-25T00:00:00,"91,898.06",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-29,Information and Communication Technology,GGS0060,2021-01-25T00:00:00,2021-06-25T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-02-09T00:00:00,"44,450.60",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-31,Information and Communication Technology,GGS0060,2021-02-09T00:00:00,2021-04-18T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-02-10T00:00:00,"68,747.92",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-30,Information and Communication Technology,GGS0060,2021-02-10T00:00:00,2021-06-06T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-02-12T00:00:00,"46,648.80",Davidson Recruitment Pty Ltd(3020051),L10/295 ANN ST BRISBANE  QLD  4000,No,No,,,,,,,,PD106404-8,General Goods & Services,GGS0060,2021-02-12T00:00:00,2021-06-30T00:00:00,50167132523
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-02-15T00:00:00,"103,400.00",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,,,,,,,,,PD106367-32,Information and Communication Technology,GGS0060,2021-02-15T00:00:00,2021-06-30T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Student and University Research Agreement,2021-02-15T00:00:00,"137,500.00",Australian National University,Australian National University ACTON  ACT  2601,No,,,,,,,,,PD108999,General Goods & Services,,2021-02-15T00:00:00,2021-12-19T00:00:00,52234063906
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-02-17T00:00:00,"103,302.94",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,,,,,,,,,PD106367-33,Information and Communication Technology,GGS0060,2021-02-17T00:00:00,2021-06-30T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Student and University Research Agreement,2021-02-17T00:00:00,"126,500.00",Australian National University,Australian National University ACTON  ACT  2601,No,,,,,,,,,PD103616,General Goods & Services,,2021-02-17T00:00:00,2021-12-17T00:00:00,52234063906
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-04-01T00:00:00,"103,002.75",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,PD106367-3,General Goods & Services,GGS0060,2021-04-01T00:00:00,2021-09-26T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Training for Indigenous Environmental Health workers,2021-05-12T00:00:00,"16,445.00",Success Training Academy,L1/9 Windmill Street SOUTHPORT  QLD  4215,No,No,,,,,,,,4301370989,General Goods & Services,,2021-05-12T00:00:00,2021-06-30T00:00:00,51637375252
DoH_PD,33 Charlotte Street, Vaccine Management System,2021-05-13T00:00:00,"1,652,883.10",NTT AUSTRALIA DIGITAL PTY LTD,201 SUSSEX ST DARLING PARK  NSW  2000,No,No,SOA,,,,,,,PD110559,Information and Communication Technology,ICT 9077,2021-05-13T00:00:00,2026-05-12T00:00:00,31100103268
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-05-29T00:00:00,"29,420.16",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-28-1,Information and Communication Technology,GGS0060,2021-05-29T00:00:00,2021-06-25T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Data collection and reporting tool,2021-06-22T00:00:00,"16,280.00",After Dark Technology Pty Ltd,1/46 CAMPBELL ST BOWEN HILLS  QLD  4006,No,No,,,,,,,,4301462405,General Goods & Services,,2021-06-22T00:00:00,2021-06-30T00:00:00,36096564920
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2021-06-26T00:00:00,"113,973.86",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-28-2,Information and Communication Technology,GGS0060,2021-06-26T00:00:00,2021-12-24T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Collaborative Research Agreement,2020-02-08T00:00:00,"132,000.00",The University of Queensland ,"University of Qld, St Lucia  Qld 4072",No,,,,,,,,,PD110896,General Goods and Services,,2020-02-08T00:00:00,2023-02-07T00:00:00,63942912684
DoH_PD,33 Charlotte Street,Food regulation fees,2020-04-14T00:00:00,"246,034.32",Australian Government Department,GPO BOX 9848  CANBERRA ACT 2601,No,,,,,,,,,,General Goods and Services,,2020-04-14T00:00:00,2020-09-01T00:00:00,83605426759
DoH_PD,33 Charlotte Street,Membership fees,2020-06-11T00:00:00,"11,000.00",The Australian & New Zealand School of Government,PO Box 230 / CARLTON SOUTH VIC 3053,No,,,,,,,,,,General Goods and Services,,2020-06-11T00:00:00,2020-08-12T00:00:00,69102908118
DoH_PD,33 Charlotte Street,Scientfic Equipment,2020-06-22T00:00:00,"27,192.00",Coherent Scientific Pty Ltd,116 SIR DONALD BRADMAN DR  HILTON  SA  5033,No,No,,,,,,,,4301463049,General Goods and Services,,2021-06-24T00:00:00,2021-10-15T00:00:00,20008265969
DoH_PD,33 Charlotte Street,Membership fees,2020-06-24T00:00:00,"19,570.06",Water Research Australia Ltd,L2/250 VICTORIA SQ ADELAIDE  SA  5000,No,No,,,,,,,,,General Goods and Services,,2020-06-24T00:00:00,2020-08-04T00:00:00,32127974261
DoH_PD,33 Charlotte Street,Legal fees,2020-06-30T00:00:00,"36,279.86",Minter Ellison,WATERFRONT PLACE L 22 1 EAGLE STREET BRISBANE  QLD  4000,No,,,,,,,,,,General Goods and Services,,2020-06-30T00:00:00,2021-06-29T00:00:00,91556716819
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-07-01T00:00:00,"191,021.07",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-24,Information and Communication Technology,GGS0060,2020-07-01T00:00:00,2021-05-14T00:00:00,81105143324
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-07-01T00:00:00,"249,095.03",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-23,Information and Communication Technology,GGS0060,2020-07-01T00:00:00,2021-06-30T00:00:00,81105143324
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-07-01T00:00:00,"87,916.13",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-4,General Goods and Services,GGS0060,2020-07-01T00:00:00,2021-06-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-07-01T00:00:00,"55,280.72",ADECCO AUSTRALIA PTY LTD,Level 19 300 Adelaide Street  Brisbane Qld 4000 ,No,No,,,,,,,,PD106406-1,General Goods and Services,GGS0060,2020-07-01T00:00:00,2021-06-30T00:00:00,91006253336
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-07-01T00:00:00,"80,218.26",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-2,General Goods and Services,GGS0060,2020-07-01T00:00:00,2021-06-30T00:00:00,28080275378
DoH_PD,33 Charlotte Street,QITC Comprehensive Contract for ICT Products and Services Navigate Extension,2020-07-21T00:00:00,"3,041,757.51",CUSTOMER MANAGEMENT TECHNOLOGIES,PO Box 2911 FORTITUDE VALLEY QLD 4006,Yes,,Limited,,,,,,,PD73437-2,Information and Communication Technology,,2020-09-18T00:00:00,2022-09-18T00:00:00,93084752983
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-08-03T00:00:00,"15,667.62",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-5,General Goods and Services,GGS0060,2020-08-03T00:00:00,2020-09-26T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Collaborative Agreement - Advance Queensland Industry Research Fellowship,2020-10-01T00:00:00,"33,000.00",The University of Queensland ,"University of Qld, St Lucia  Qld 4072",No,,,,,,,,,PD110240,General Goods and Services,,2020-10-01T00:00:00,2024-09-30T00:00:00,63942912684
DoH_PD,33 Charlotte Street,2020-21 Sewer Surveillance for SARS-CoV-2 in Qld,2020-10-02T00:00:00,"2,587,035.00",THE UNIVERSITY OF QUEENSLAND,St Lucia Campus  Brisbane Queensland 4072 ,No,,Limited,,,,,,,PD107539,,,2020-10-02T00:00:00,2021-09-30T00:00:00,63942912682
DoH_PD,33 Charlotte Street,Legal fees,2020-10-30T00:00:00,"115,152.16",Mccullough Robertson Lawyers,GPO BOX 1855 BRISBANE QLD 4001,No,,,,,,,,,,General Goods and Services,,2020-10-30T00:00:00,2020-11-17T00:00:00,42721345951
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-01-04T00:00:00,"39,487.07",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-9,General Goods and Services,GGS0060,2021-01-04T00:00:00,2021-06-30T00:00:00,28080275378
DoH_PD,33 Charlotte Street,Provision of Penetration Testing to Maple Navigation Portal,2021-01-19T00:00:00,"11,935.00",Telstra Corporation Limited,L3/275 George Street Brisbane QLD 4000,No,No,,,,,,,,4301130215,,,2021-01-19T00:00:00,2021-06-30T00:00:00,33051775556
DoH_PD,33 Charlotte Street,Climate Risk Assessment Guidance Training ,2021-02-12T00:00:00,"61,700.10",Griffith University,NATHAN CAMPUS 170 KESSELS RD NATHAN 4111,No,,,,,,,,,4301181357,,DSITIAD01,2021-02-12T00:00:00,2021-06-28T00:00:00,78106094461
DoH_PD,33 Charlotte Street,Certificate III Course Indigenous Training,2021-03-24T00:00:00,"16,300.00",Career Calling International,2/10 LAWN CT CRAIGIEBURN  VIC  3064,No,No,,,,,,,,4301268837,General Goods and Services,,2021-03-24T00:00:00,2021-06-30T00:00:00,53162651238
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-03-29T00:00:00,"24,399.14",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,,,,,,,,,PD106403-10,General Goods and Services,,2021-03-29T00:00:00,2021-06-30T00:00:00,28080275378
DoH_PD,33 Charlotte Street,Scoping for the development of an indigenous operators training package,2021-04-27T00:00:00,"143,589.60",Water Industry Operators Ass Of Aust Ltd,"24-26 NEW DOOKIE RD, SHEPPARTON  VIC  3630",No,,,,,,,,,PD110391,General Goods and Services,,2021-04-27T00:00:00,2022-02-28T00:00:00,83123468422
DoH_PD,33 Charlotte Street,Multi-lateral Research project,2021-06-04T00:00:00,"220,000.00",The University of Queensland ,"University of Qld, St Lucia  Qld 4072",No,,,,,,,,,PD110560,General Goods and Services,,2021-06-04T00:00:00,2025-06-03T00:00:00,63942912684
DoH_PD,33 Charlotte Street,ICT Contingent Labour,,"71,676.31",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD74441-68,Information and Communication Technology,PTD0033-15,2020-06-27T00:00:00,2021-01-03T00:00:00,70600569784
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-15T00:00:00,"66,500.30",Clamac Medical Pty Ltd,,Yes,,,,,,,,,PD77917-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,65120316609
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-15T00:00:00,"80,628.78",Dr John Evans Radiologist Pty Ltd,,Yes,,,,,,,,,PD78127-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,69165642651
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-15T00:00:00,"215,381.03",Marion Tracey Medical Pty Ltd,,Yes,,,,,,,,,PD78242-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,47144563986
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-15T00:00:00,"102,040.83",Lexsea Radiology P/L,,Yes,,,,,,,,,PD99191,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,60626688659
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-16T00:00:00,"73,150.34",Clin A/Prof Jonathan M Osborne,,Yes,,,,,,,,,PD78131-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,59880064011
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-18T00:00:00,"154,224.10",Andrew M McLaughlan,,Yes,,,,,,,,,PD78579-2,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,90706362371
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-18T00:00:00,"62,255.60",Charles Bruce Leibowitz,,Yes,,,,,,,,,PD78613-2,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,14209149485
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-18T00:00:00,"143,966.08",Dr Bimal P Sood,,Yes,,,,,,,,,PD75283-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,59479606690
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-18T00:00:00,"15,563.90",Bensoussan Medical Pty Ltd,,Yes,,,,,,,,,PD78614-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,81103294542
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-18T00:00:00,"52,314.56",Dr Michael P M Curley,,Yes,,,,,,,,,PD87660-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,90442299082
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-19T00:00:00,"43,508.88",Dr Charmaine Macdonald,,Yes,,,,,,,,,PD88446,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,88748985156
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-19T00:00:00,"49,521.50",Dr Nicholas J Hall,,Yes,,,,,,,,,PD78243-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,43197840105
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-20T00:00:00,"96,371.66",Dr Julie Broadfoot,,Yes,,,,,,,,,PD78126-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,22816029396
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-20T00:00:00,"211,676.82",Overgrove Pty Ltd,,Yes,,,,,,,,,PD78239-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,89076876536
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-21T00:00:00,"34,240.59",Dr James Challen,,Yes,,,,,,,,,PD77906-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,27135980467
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-23T00:00:00,"219,450.99",Rjlarsen Medical Pty Ltd,,Yes,,,,,,,,,PD78461-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,60378221090
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-24T00:00:00,"92,605.21",Dr Elizabeth A Carter,,Yes,,,,,,,,,PD78612-2,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,19897520767
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-26T00:00:00,"17,581.75",Toni L Cheatle,,Yes,,,,,,,,,PD87907-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,18483883970
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-27T00:00:00,"119,842.03",Dr Grant Withey,,Yes,,,,,,,,,PD77915-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,82448558537
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-27T00:00:00,"28,793.22",Willengra Pty Ltd,,Yes,,,,,,,,,PD78128-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,46140513598
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-27T00:00:00,"22,791.13",Dr Shohreh Rezai,,Yes,,,,,,,,,PD78254-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,65230147242
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-27T00:00:00,"83,541.21",Dr Thomas B Lloyd,,Yes,,,,,,,,,PD78568-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,29726026564
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-28T00:00:00,"84,823.26",Dr Phelim T Doyle,,Yes,,,,,,,,,PD77913-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,27809036694
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-05-29T00:00:00,"36,069.34",Dr Anthony Chan,,Yes,,,,,,,,,PD77898-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,71381106974
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-06-05T00:00:00,"124,511.21",Dr Chanchala Athulathmudali,,Yes,,,,,,,,,PD77862-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,69547106756
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-06-05T00:00:00,"106,578.87",Katrina Lee Hopcraft,,Yes,,,,,,,,,PD87906,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,72659428250
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-06-06T00:00:00,"68,636.80",Dr Bronwyn G Rogers,,Yes,,,,,,,,,PD77899-2,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,40094502208
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-06-08T00:00:00,"220,805.06",Dr Linda Cockburn,,Yes,,,,,,,,,PD78134-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,77010933016
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-06-15T00:00:00,"192,280.00",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-2 ,Information and Communication Technology,GGS0060,2020-06-15T00:00:00,2021-05-02T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Translation of BSQ Docs 20-21,2020-06-16T00:00:00,"13,049.94",Language Loop-Vits,L16/607 BOURKE ST MELBOURNE  VIC 3000,No,,,,,,,,,,Information and Communication Technology,HSQ81638,2020-06-16T00:00:00,2021-06-30T00:00:00,50664505657
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-06-17T00:00:00,"61,773.12",Dr Damayantha K Seneviratne,,Yes,,,,,,,,,PD77907-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,23931971084
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-06-17T00:00:00,"115,172.86",Dr Tony C Bretherton,,Yes,,,,,,,,,PD77905-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,78497757293
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-06-19T00:00:00,"123,491.76",Dr Sonja M Gustafson,,Yes,,,,,,,,,PD78558-1,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,96372532114
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-06-27T00:00:00,"73,200.60",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,,,,,,,,PD77110-15,Information and Communication Technology,PTD0007-14 ,2020-06-27T00:00:00,2021-01-03T00:00:00,28080275378
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-06-27T00:00:00,"135,383.95",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,PD74441-18-3,Information and Communication Technology,PTD0033-15,2020-07-01T00:00:00,2021-01-03T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-06-27T00:00:00,"131,774.02",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,PD74441-62,Information and Communication Technology,PTD0033-15,2020-06-27T00:00:00,2021-01-03T00:00:00,70600569784
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-06-29T00:00:00,"68,241.54",Dr Shilpa Hegde,,Yes,,,,,,,,,PD96160,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,86450617122
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-07-01T00:00:00,"69,535.03",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-3,Information and Communication Technology,GGS0060,2020-07-01T00:00:00,2021-03-31T00:00:00,28080275378
DoH_PD,33 Charlotte Street,2020/21 VMO SCRM,2020-07-01T00:00:00,"39,836.36",Dr Linda Cockburn,,Yes,,,,,,,,,PD78134-2,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,77010933016
DoH_PD,34 Charlotte Street,2020/21 State Radiologist,2020-07-01T00:00:00,"42,952.25",Dr Sonya Gustafson,,No,,,,,,,,,PD78134-2,Medical,,2020-07-01T00:00:00,2021-06-30T00:00:00,96372532114
DoH_PD,33 Charlotte Street,Multi-lateral Memorandum of Understanding for National Surveyor - BSQ Program,2020-07-01T00:00:00,"156,000.00",Department Of Health,"Department Of Health, Canberra ACT  2601",No,,,,,,,,,PD108764,Information and Communication Technology,,2020-07-01T00:00:00,2023-06-30T00:00:00,83605426759
DoH_PD,33 Charlotte Street,GP Messaging for BreastScreen Qld,2020-07-06T00:00:00,"15,388.12",Healthlink Group Pty Ltd,35 CLARENCE ST SYDNEY  NSW  2001,No,No,,,,,,,,4300713758,Information and Communication Technology,,2020-07-06T00:00:00,2021-06-30T00:00:00,44600665183
DoH_PD,33 Charlotte Street,BSQ Outgoing Communications,2020-07-09T00:00:00,"37,781.48",Medical-Objects Pty Ltd,11/72 Wises Road MAROOCHYDORE  QLD  4558,No,No,,,,,,,,4300722146,General Goods and Services,,2020-07-09T00:00:00,2021-06-30T00:00:00,55082554877
DoH_PD,33 Charlotte Street,Printing Promotional materials for cancer screening programs,2020-07-20T00:00:00,"230,146.31",Konica Minolta Marketing Services,L4/503-505 Kent Street Sydney 2000,No,,,,,,,,,4300743280,General Goods and Services,HSQ96132,2020-07-20T00:00:00,2021-06-30T00:00:00,59108768083
DoH_PD,33 Charlotte Street,BSQ Text Messaging SMS ,2020-08-28T00:00:00,"59,364.00",Message Media P/L,GPO Box 442 Melbourne VIC 3001,No,No,,,,,,,,4300832962,Information and Communication Technology,DETSOA-4648,2020-08-28T00:00:00,2021-06-30T00:00:00,16095453062
